text,reaction
"ইতিহাসে বৈশাখের ঐতিহ্যের সাথে পান্তা ইলিশের অস্তিত্ব যেমন খুজে পাওয়া যায়না তেমনি মঙ্গল শোভাযাত্রার অস্তিত্ব আসে কোথা থেকে? কোথা থেকে কেমন করে এলো চেপে বসা এই উটকো সংস্কৃতি? এবার ইলিশ বাঁচাতে সচেতন দেশবাসী ইলিশ হত্যার রাশ টেনে ধরেছে... ইনশাল্লাহ সামনে ঈমান রক্ষায় মুসলিমরা মঙ্গল শোভাযাত্রা, উল্কি আঁকা, ধুন্ধুমার কনসার্ট, অশালীনতা প্রত্যাখ্যান করবে!",disgust
তুই কি? বোকা,disgust
বাঁশের কনচি দিয়া চোরদেরকে পাছায় পিটান দরকার।,angry
মরতে হবে,sad
ইলিশ কি মমতা দিদির জন্য বরাদ্ধকৃত?,angry
প্রতিমা ভাঙ্গা আমাদের ধর্মিয় দায়িত্ব।,happy
স্যার আপনাকেও না যেন কবে গেফতার করে।,fear
indian দের এখন মাথাখারাপ,sad
চোখটা যদি ধীরে ধীরে ঠিক হয় আরকি।,happy
নাসতিক দালাল মিডিয়া তোমরা,angry
তোকেও জেলের ভাত খাওয়ানো দরকার।।সরকার তাড়াতাড়ি সেটা করবে মনে হচ্ছে।।,fear
মুসলিমদের সমস্যা নিয়ে যখন কথা হয় তখন আপনার মুখ দিয়ে কোনো কথা বের হয় না আর সনাতন ধর্মাবলম্বী মানুষের সমস্যা হলেই আপনার কন্ঠে জোড় আসে এটাই কি আপনার সার্বজনীন ধর্ম চেতনা,disgust
"যাক, প্রমান হল আইন সবার জন্য সমান।",happy
"মালাওনের বাচ্চা এগুলা কিরকম মুরতি, ওকে কে নস্ট করচে সেটাও জানেনা,,,,,",angry
"আপনাদের মত যদি আন্যান্য গুরুত্বপুর্ন সেক্টরে আর দশটা প্রতিষ্ঠান থাকত, তবে আমাদের দেশের চেহারা এক বছরেই পাল্টে যেত।।।।। আপনাদের প্রতি আমাদের ভালোবাসা আছে, থাকবে আজীবন।।।। দোয়া রইল আপনাদের জন্য।।।",happy
"গ্রেট।।।। ইটস রিয়েলি গ্রেট।।।। তবে ভাই আপনারা কিন্তু এখন কঠিন সমস্যার মুখোমুখি হবেন।।।কারন এত দিনে জায়গা মতো হাত দিছেন।।। বি:দ্র: ভাই ভয় নাই, পাশে ছিলাম আছি আর থাকব।।।",happy
দয়া করে নিউজটা ইউটিউবে দিবেন এবং লিংকটা পোষ্ট করবেন এই পেইজে কারণ আমার কম্পিউটারে এই নিউজের লিংকটা আসতেছে না । ধন্যবাদ ।,happy
মাদাৱচৌধ ইতিহাস দেখ পড় 52 ভাষা আন্দোলনেৱ প্ৰথম সাৱিতে কাৱা ছিল।তোৱ বাপ মুজিব নাকি গোলাম আজম ।,angry
"ইডিট করা ছবি দিয়ে নিজেকে ছাগল প্রমাণ করছে। শালা বাল ছিঁড়া, আবাল।",angry
দয়া করে কি বলতে পারেন কেউ যদি বিদেশ থেকে কোন উপহার পাঠায় তাহলে ১০০% vat/tax কেন,angry
"দেশের সকল ম্যাজিস্ট্রেট ভাইদের দৃষ্টি আকর্ষণ করছি , আপনারা একত্রিত হয়ে এ য়ার পোর্ট ম্যাজিস্ট্রেট দের পাশে দাড়ান । বেয়াদপ গুলোর কঠিন বিচার করেন । এই দেশে অন্যায়ের বিচার করলে , আন্দলনের নামে বিচারকারিকে অপমান করা ফ্যাশন হয়ে গেছে ।",sad
"নিশাত হোসেন বর্ণা দেখছুইন আমাকে নিয়ে ভালো রিপোর্ট ও আসে। থ্যাংকস Magistrates, All Airports of Bangladesh",happy
সব ঠিক আছে তাই বলে একজন দালাল এর পক্ষে নিতে হবে ?,happy
২ টা বানান ভুল Mamun Mohammad Mamun,sad
আমরাও একদিন পারবো,happy
সেদিন হয়তো আর বেশি দূরে নয় যেদিন আমাদের বিমানবন্দর হবে হিত্রো এর মত....,sad
এটা কিন্তু খুবি অসস্তিকর যে বিমান বন্দরে এত চোর আছে:-( Once upon a time আমি ভাবতাম খালি সুন্দরী বিমালবালা আছে বিমান বন্দরে:-),disgust
যারা অন্যের ধর্মে আঘাত হানে ওরা মানুষ নামের কলংক ।,angry
ধন্যবাদ এই পুলিশ ভাইকে,happy
"যে দেশে ৩ বছরের বাচ্চাকে আছড়ে মেরে ফেলা হয়, যে দেশে তনুদের সেনানিবাসে গিয়ে লাশ হতে হয়, সে দেশের মানুষের ধর্মীয় অনুভূতি তো পরের কথা, আদৌ কোন অনুভূতি আছে কিনা সেটা গবেষণার বিষয়।",disgust
অনেক কিছু বলার ছিল !,angry
এক বিদেশী দালাল কে আরেক বিদেশী দালাল সমর্থন করছে.....বুঝলেন?,angry
"স্যার, আপনারা একে একে যেভাবে সবাইকে পাঠাচ্ছেন তাতে খুব বেশিদিন মনে হয় লাগবে না,কর্মচারীশূন্য এয়ারপোর্ট হতে।😉😉😉😉😉",disgust
আমাদের কথা বলার মত কোন মানুষ নাই সৃষ্টিকত'। আপনাকে ভাল রাখুক ।,sad
মনে হয় সামনে আমাদের জন্য সুদিন অপেক্ষা করতেছে,happy
ওদের কে ধরে ফাসি দেওয়া হোক,angry
খাংকির পুত তোরে চোদার টাইম নায়,angry
ইমরান ভাই যেকোন সময় গ্রেফতার হতে পারে ।,fear
"আল্লাহ আপনি ওনাকে সমস্ত গুনা হতে মাফ করে দিন,, ( আমিন) Like ·",sad
"খুবই আসাধারন কাজ করেছে!! তবে বাংলাদেশের পুলিশ এর কাজের এমন প্রশংসা শুনে বুঝতে পারলাম, এ দেশের পুলিশের দ্বারা এমন কাজ খুব একটা বোধয় দেখা যায় না। তারা কি এতটাই খারাপ যে ভাল কাজ খুব কম আশা করা যায়। তাদের এমন কাজের জন্য আমাদের প্রশাংসা করতে হয়!!!",happy
খুব ভাল কাজ হয়েছে ভাইয়া ফ্লাই ডুবাই কে জরিমানা করার জন্য,happy
"বহু বছরের পুরনো স্মৃতি মনে পারছে, যখন ছোট বেলা দাদা বাড়ি যেতাম,,,,,,,,,,",sad
"বাংলা বানান ভাউ, আপনে দয়া কইরা অন্য যায়গায় যান। প্লিজ বুরিক্ত কইরেন না।।",disgust
ইমরান ভাই আমিও আপনা সাথে এক মত,happy
ইমরান তোমরা যে গাঁজা খাও সেটা বায়বীয় । অভিযোগটা বায়বীয় নয় প্রাথমিক ভাবে প্রমানিত।,disgust
হা হা হা ! চলিতেছে সার্কাস !!!,happy
চলুন আমরা সবাই পান্তা ইলিশ বর্জন করি,sad
দেশে কোনো শান্তি নাই।,sad
শালারে পিটা দইরা। গানজুটি,angry
পর্দা টি কি আগে মনের পর্দাটা পরিষ্কার করো.তাহলে সব পরিষ্কার,fear
"ইমরান এইচ সরকার আবার শফিক রেহমানের ভক্ত হইলেন কেমনে ? যে কিনা যুদ্ধাপরাধীদের কোলে নিয়ে ঘুড়ে , সারা দিন যুদ্ধাপরাধীদের পক্ষে গলা ফাটায় ?",angry
"একটা যুবক সন্তান মারা গেলে আমরা কি বলি, কান্নার কি আছে, আর একটা সন্তান নিলেই তো হয় ?",sad
সে যদি দুসিহয় আমাদের কারো কিছু বলা ঠীক নয়।,sad
"তাইতো সদা ব্যাস্ত প্রাচীন ধর্মের প্রসারে। মঙ্গোল শোভা যাত্রায় কোন? শিক্ষাটি পাই, যা থেকে মঙ্গোল আসবে!যেখানে পুতুলের মাধ্যমে দেবতাকর্তৃক মঙ্গলময় হবে বাংলাদেশ, এমন ধারনা পোশনকারীদের উপরি নির্ভর করছে এ দেশের সামগ্রিক কৃষ্টি! অথচ, অমঙ্গলকর সব কিছুই যেন গ্রাস করছে , অতীতের যতটুকু মৌলিক অর্জন।",fear
আমি সুনে খুসি হলামযে নবর্ষপাল,happy
ধন্য বাদ বড় ভাই ইমরান আপনাকে আমার পক্ষ থেকে অনেক অনেক শুবেচছা।,happy
ধন্যবাদ বাংলাদেশ সমন্ধ্যে ওদের ধারনা কম তাই কাজ হচ্ছে,happy
ইয়েচ,happy
আরে আজব ! চুরি করবি আর ধরলেই তোমগো হুমকি ধামকি শুরু হয়ে গেসে ? হানিফ জাকারিয়া কি কলিকাতার দাদা নাকি ? আওয়ায টা কেমন লাগে যেন ? এই চোর গুলি কে আগে ভিতর ডুকানো উচিত. গতকাল CSO মিসিল করলো আর আজকে এরা... চোরের দল ভারি হয়ে যাচ্চে ...,disgust
দালাল ত্রর শেষ নাই দেশে,angry
এ থেকে বুঝাযায় 'শাহবাগিরা' সরকারের পা চাটাঁ কুত্তা...,angry
এই পুতুল দের কাছে তদের বোন কে বিয়ে দিছ নাকি,sad
এই প্রথম ইমরানের পোস্টে লাইক কমেন্টস সহ ধন্যবাদ দিলাম..,happy
আরো আগে এলনা বড় ভাল হত,happy
ইংলিশ না ইনডিয়া,angry
আপনি কি নিজে এটা মানেন যে এর বিচার হবে ভাইয়া ??? Impossible,fear
ভারতে এরকম হাজার হাজার মুস্লিম কসট সয়ে আছে তমরাও থাক কেমন,sad
"শিক্কিত আপনে যে ওদের চরিত্র ধরতে পারছেন,এতে আপনার স্বশিক্ষা ই প্রকাশ পেল. আপনে ""clearly ahead""...",happy
তিব্র নিন্দা জানাই ওসব লোকদের।,sad
বাল ফেলাইয়া আপনারে খাওয়াবো,angry
অপরাধ এর সাথে বয়স মিলানো আদৌ ঠিক কি?,angry
যতদিন সাফায়েত রা থাকবেন তত দিন আমাদের স্বপ্ন ও সম্ভাবনার পিদিম জ্বলবেই।,happy
"প্রথমে একজনকে সাসপেক্ট হিসেবে গ্রেফতার এবং জিজ্ঞাসাবাদ করা হয়, এখানে বয়সটা বড় বিষয় নয়,এখানে বড় বিষয় টা হচ্ছে তিনি অপরাধি কি না?",fear
~>খুবই দু্ঃখজনক ! দোষীদের দ্রুত গ্রেফতার ও শাস্তি চাই !,sad
হয়রানীকৃত যাত্রী‌দের ম‌ধ্যে জ‌রিমানার টাকা বিতরণ করা উচিত ম‌নে ক‌রি।,sad
আপনার মত মহৎ সরকারি লোক দেশে বেশি থাকলে দেশ পরিবর্তন হতে বেশি দিন লাগবেনা।salute you.,happy
"সাবাস্,এভাবে জাগরণের শুরু হয়ে আইনের শাসন প্রতিষ্ঠিত হবে,ইনশাহ্ আল্লাহ্,আপনাদের,কে ধন্যবাদ।",happy
তার আগে পাকির বিদায় দিন,angry
FREE FREE FREE FREE FREE১০০% free job ১০০% লিগেল কম্পানি কোন ফি লাগবেনা। পার্টাইম জব । সুধু android ফোন থাকলেই হবে। কোন টারগেট নাই। সোকাল বিকাল জখন টাইম পাবে কাজ করো আর ইনকাম কর পেমেন্ট সাতে সাতে bank ac তে পাবে ১০০০০-৫০০০০+/ একদম সহজ কাজ ইন্টারনেটে এড পোষ্ট whatsapp 9674995657,happy
স্যার ছোট টিভিটা কোথায়। বড় টিভিতে মন ভরে না।,sad
আমাদের কে আইন মানতে হবে **এতে যতো বাধা আছে আমারা বাংলাদেশের সচেতন নাগরিক হিসাবে এগুলোকে টোপকিয়ে আইনকে পতিষ্ঠত করবো********এতে করে অপরাধ আর সংগঠিত হবেনা*তাহলে দেশের ভাল হবে*আর দেশের ভাল হলে জাতির ভাল হবে******,angry
এই একক্টি কতা আপনার সাথে একমত না হয়ে পারলাম না ভাই,happy
এক বছর জেল যা এইবার জেলে বইসা চুরি কইরা খা..,angry
গতকালের ভদ্র লোকটি কোথায় যিনি অসম্ভব সুন্দর স্টাটাস টি প্রসব করেছিলেন ??,happy
হিন্দুদের বুঝা উচিত যে মুর্তি নিজেকে রক্ষা করতে পারে না। সে তাদেরকে কেমন করে রক্ষা করবে,fear
ইস! গরলের উদগীরণ।,sad
কোন খারাপ কাজ হলেই মুসলমান আসে তাই না? কিছু কিছু আবালের জন্যই আজ আমাদের এই অবস্থ্যা।। মুসলমান শব্দটাকে আজ একটা ভীতিকর শব্দে পরিনত করছে।,fear
ভাল কাজে বাধা আসবে!!!,happy
যারা প্রকৃত দোষী তাদের শাস্তি হোক।,happy
"বিনোদনের অজুহাতে নগ্নতার মাতাল নেশায় আচ্ছন্ন তরুণ প্রজন্ম। বাদ নেই আবালবৃদ্ধবনিতাও। আর এর মূলে রয়েছে আকাশ সংস্কৃতির সহজলভ্যতা। বর্তমান বিশ্বে বিজ্ঞানীদের অন্যতম বিস্ময়কর অবদান হচ্ছে আকাশ সংস্কৃতি। এ আকাশ সংস্কৃতির যেমন অবদান রয়েছে, তেমনি এর অপকারেরও শেষ নেই। স্যাটেলাইট প্রযুক্তির অপব্যবহারে পুরো পৃথিবী আজ নিমজ্জিত। চিত্তবিনোদনের শিরোনামে লাগামহীন উগ্র আয়োজনের নিকষ অন্ধকারে হারিয়ে যাচ্ছে। এর বিষক্রিয়া থেকে বেঁচে নেই ৫৬ হাজার বর্গমাইলের লাল সবুজের বাংলাদেশও। প্রশ্ন হলো, ওরা যদি ওদের বস্তাপচা সংস্কৃতি আমাদের ঘরে ঘরে পৌঁছে দিতে পারে, তাহলে আমরা কেন আমাদের শিক্ষা, সংস্কৃতি তাদের ঘরে পৌঁছাতে পারি না? আজ সময় হয়েছে ভেবে দেখার।",sad
ধন্যবাদ ভাই,happy
আমার মনে হয় এইটাও ইমরান এস সরকারের কাম,angry
লোকটা মনে হয় গ্রেপ্তার হওয়ার পর বেশি জনপ্রিয় হয়ে গেছে।,disgust
সাবাস ! সাবাস ! চালিয়া যান. আমরা আছি আপনাদের সাথে.,happy
ডিজিটাল দেশে হিন্দুদের কোন বিচার নাই,sad
"তুই ও, কি একটু গাজা আর মাগীর নেশায় গান্জুইট্টা র চামচামি করিস? হা হা হা",happy
আমরা নামে মাএ বাংগালী কাজে কর্রমে ইংলিশ,angry
ইহা কাপুষ এর কথা ।,disgust
ঔ কুত্তার বাচ্চা তোর ধর্ম কোনটা রে.,angry
"আবু সাঈদ সাহেবের একটা ছবি চাই।একজন ভালো অফিসার হিসাবে উনার নাম সবাই জানুক,উনাকে চিনুক।",happy
কোর্ট কল করলে রাষ্ট্রপতি ব্যতীত প্রধানমন্ত্রী থেকে শুরু করে যে কোন ব্যাক্তি কোর্টে হাজির হতে বাধ্য থাকা উচিত।,disgust
ধন্যবাদ বাংলা দেশ পুলিশ এবং গণমাধ্যম(ফেসবুক) কে শিশিটির জন্য দোয়া রহিল>>>>,happy
আপনার মত দায়িত্ববান মাননীয় ম্যাজিস্ট্রেটেটের দিকেই অসহায় মানুষ গুলো তাকিয়ে থাকে । May Allah bless you .,happy
"মানব বন্ধন করে কোন লাভ নেই, সেনা নিবাস ঘেরাও এর কম' সূচির ডাক দিন!!!",angry
Sayed Parvez নাস্তিক ইমরান তোর বাবা লাগেরে তুই হইতাসোছ নাস্তিক ইমরানের পুলা,angry
মুসকি মুসকি হাসতে পারেন! :),happy
সালাম,happy
"হাসিনা জিন্দাবাদ, ভাই আপনে কোন জেলা...",happy
খুব ভাল কাজ। জনাব আপনার রুমের টেলিভিশন টা দেখছি পরিবর্তন হইছে।,happy
দুঃখের বিশয় গাই মাতা আছে ।একটাও লেংটা বাবা নাই।,sad
.....বিভিন্ন মিডিয়া বিভিন্ন ভাবে সরকারকে হেয়কারি বুদ্ধিজিবিদের পালন-পোষন করে আসছে.....শফিক রেহমান তাদের মধ্যে একজন বটে....,sad
খালি চোর না । এরা রেজিস্টার কৃত মহা চোর ।,angry
"jihad bhuiyan পাকিস্হানে চলে যা,,,,",fear
"ভাই, কাজের/দায়িত্ববোধের মাধ্যমেই আপনাদের কে ভাই বলি আপনাদের চিনি- আলহামদুলিল্লাহ। আপনারা এগিয়ে যান। (y)",happy
ভাই আপনি কি মুস্লিম? মনেই হলো না। আপ্নের মত মানুশের জন্য ই আজ ঈস্লামকে সব দেশ হেয় চোখে দেখছে।,sad
কেন থাকবেনা। অবশ্যই আছে। কিন্তু এটা মন্দিরের ছবি?,angry
হায় নাসতিক ইমরান তোর বিচার আললাহ করবে ইসলামের দুসমন,angry
পুলিশ ও পারে এইটা তার উদাহরন ..TNX..,happy
আর একজনের সাথে মারা দিতে গিয়া নিজের সামিকে।মারছে? এখন বুজবে।দোয়া করতে মানা নেই।তাই দোয়া করি।আল্লাহ পাক।মাফ করে দেন ।,sad
বিদ্যা ও ধর্মীয় জ্ঞান না থাকায় আজকে দেশের এ অবস্তা।,fear
"ভাগ্য ভালো এই শফিউর রহমান আদর্শগত ভাবে মুসলিম নয়, তাহলে তাঁরও রিমান্ড চাওয়ার জন্য শাবাগে ভিক্ষব হত। আর এই ভিক্ষবের নেতৃত্ব দিত ইমরান সরকার# Dr. Shah Imran Khan",disgust
"এতদিন মতের সাথে মতে মিল হল। ধন্যবাদ এমরান,,,,",happy
"ভাই, আপনার মতো চুদিরবাই জগতে দুইটা নাই...",angry
"ও,দের,ফাঁসি,চাই,সরকার,বিচার,করো,দয়া,করে",sad
বাঘের বাচ্ছা,happy
তারাতারি আসামী গ্রেফতার করে রাজপথে ফাঁসী দেওয়া হোক,angry
খড়কুটোকে আকড়ে ধরতাছে সরকার,fear
আগে দেখতে হবে সাইদী সাহেব ধোন কাটাইছে কিনা,angry
এসব করা টিক না কেননা আল্লাহ কোরআনের মধ্য এগুলো পালন করার জন্য আমাদেরকে বলেন নাই তাই তো এই সব কোসংকার আমরা বর্জন করি আর যদি কিছু না করতে পারি সমর্থন না করে অন্ত ঘৃনা করি।,fear
কেউ কিছু করবেনা দেশে বিচার নেই,sad
কাজটা মোটেও ভাল করেনি,sad
অসাধারন.এও ভালবাসার মানি বোজে.মানুষরা বোজেনা.,sad
হায় রে মা জননি কেমন মা তুমি বাচ্চাটা কে নিয়ে পহেলা বৈশাখ পালন করতে ঘুরতে বেরিয়ে গেছ আবার ছেলেটা কে হারিয়েও গিয়ে ছিল তুমার কপাল ভাল আল্লাহর অশেষ রহমতে পুলিশ এর উছিলায় বাচ্চাটা খোজে পেয়ে গেছ এখনও সময় আছে সময় থাকতে সাবধান হয়ে যাও,sad
"স্যার, চোরের দল শক্তিশালী । তাদেরকে একটা একটা করে সাজা দিয়ে ধীরে ধীরে এদের শক্তি দূর্বল করে দিতে হবে । আপনার এ উদ্যোগ শুধু দেশে নয় বহির্বিশ্বে সকল বাংলাদেশীর কাছে সমাদৃত হচ্ছে । এগিয়ে যান জয় সত্যের হবেই হবে ।",sad
"ভাই, আমারেও সেইদিন একজন বন্দুক দিয়ে হত্যা করতে চাইছে। কি করমু?",fear
আমি তো তা বলিনি. . . মূর্তি পুজা থেকে সরে আসার আহবান এবং আল্লাহ ও তাঁর রাসুল ()সাঃ এর মনোনিত ধর্মের প্রতি আহবান করাই আমাদের দায়িত্ব যেমনটা নবী করিম (সাঃ) করেছেন. .,sad
"এক চোর যাবে আবার নতুন চোর আসবে, এরকম যেন না হয়। আমরা চাই একটাও চোর যেন না থাকুক। আমার যারা বিদেশে থাকি তারা দেশে যাবার সময় ভাবি এত কস্ট করে বউ বাচ্চার জন্য যা কিনলাম তা বিমান বন্দর দিয়ে নিতে পারবোতো। একটা কথা ঐ চোরদের ধরে ধরে বিদেশে পাঠায়ে দিন, ওরা দেখুক এখানে কত কস্ট করে টাকা কামাই করতে হয়।",disgust
টিভি বদলাইয়া গেছে।,happy
আপনার লাগলে আপনি মুিওগুলা নীজহাতে বানিয়েদিন ইমরান সাহেব।,disgust
একদম ঠিক কথা । এই স্যার কে ধরে নিজেরাই লজ্জাজনক কাজে নাম লিখল ।,sad
এমরান সরকার আপনার কাছে কি উনি সাধু বাবা? সফিক রেহেমান তার দীঘ জীবনে অনেক খারাপের সাথে জরিত ভালো করে জাসটিফাই করে দেখেন তখন দেখবেন কি বেরিয়ে আসে,fear
খারাপ লোক না হলে এমন করে??,sad
"এবার আস্তে আস্তে বন্দরেরে রুই, কাতলা, পাঙ্গাস, হাঙ্গর , তিমি , ডাইনোসার ধরার চেষ্টা করেন। ইনশাআল্লাহ আপনারা পারবেন।",happy
#বাংলা বানান ঠিক করে লিখুন# মশাই..... বানান তিনটা ভুল ছিল। ভুল সঠিকভাবে ধরতে না পারলে না ধরাটাই উত্তম না ???,sad
"জরিমানা ও শাস্তির পরিমান টা বাড়িয়ে দিলে আরও ভাল হত ,,না হয় এই ধরনের অপকর্ম করার সাহস পেত না ,,ধন্যবাদ magistrates ,all airport of Bangladesh",happy
আপনারা এত চোর ধরেন তবুও কেন তাদের দমন করতে পারতেছেন না?? কলম চুরি করুক অথবা বিমান চুরি করুক কঠোর শাস্তি দেন ইনশাল্লাহ সব সোজা হয়ে যাবে।,angry
ভাই সাধারণ যাত্রি দের আপনাদের সাথে যোগাযগের জন্য কি উদ্দগ নিয়েছেন? প্রচুর প্রচার দরকার,happy
দেশ আজ পবিত্র হওয়ার উদ্দেশ্যা গঙ্গার জলে স্লান করতে গিয়ে ডুবিয়া ডুবিয়া মরিতেছে।,sad
আমি অবাক হই আপনাদের এত তৎপরতার পরও এরা কিভাবে এসব করার সাহস পায়! এত মানুষ আপনাদের কথা জানে আর এরা জানে না?,disgust
কারন কি জানতে পারিনি স্যার,sad
তনু ইস্যু শেষ?? এবার নতুন কিছু আছে? নইলে তো ভাতে মরতে হবে।,sad
আমাদের বাংলাদেশ cricket টিম নিয়ে ভারতের আনেক কথা বলে সালা ভারত,angry
সাব্বাস.. ক্যারি অন...! :),happy
সে জাহান্নাম এ যাবে না,disgust
১০০০০% সত্য,happy
"ইদানিং আপনার সম্পূর্ণ কথার সাথে আমি একমত, কিন্তু এখন দেখি কিছু কুকুর আপনার পিছু লেগেছ,, , ,! go ahead",disgust
যারা এই কাজে জরিত এই নরপশুদের মাথা এভাবে কাটা দরকার,angry
"বন্ধুরা একটু আগে আমি ৫০০ টাকা রিচার্জ পেলাম। ইয়াহু... আমি ইনকাম করতে পেরেছি। খুব সহজে মাত্র ১০ মিনিটের এর মধ্যে । প্রথমে আমি নিজেও বিশ্বাস করিনি কিন্তু আমি যখন ফ্লেক্সিলোড পেয়েছি তখনই আমার বিশ্বাস হয়েছে । এই মাত্র আমি ৫০০ টাকা রিচার্জ পেলাম, তাই বন্ধুদের শেয়ার করছি। আপনি নিজেই দেখুন, এই লিংকে যান → http://CASHBKASH.WAPKA.MOBI",happy
